year,school,college,major_code,major_name,degree_type,study_type,score_line,politics,foreign_language,business_course_1,business_course_2,source_title,source_url,crawl_time
2026,南京邮电大学,材料科学与工程学院,085400,电子信息,,全日制,383,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2026,南京邮电大学,材料科学与工程学院,080300,光学工程,,全日制,292,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2026,南京邮电大学,材料科学与工程学院,080901,光学工程,,全日制,290,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2026,南京邮电大学,材料科学与工程学院,080902,光学工程,,全日制,278,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2026,南京邮电大学,材料科学与工程学院,080904,光学工程,,全日制,265,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2026,南京邮电大学,材料科学与工程学院,080500,材料科学与工程,,全日制,264,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2026,南京邮电大学,材料科学与工程学院,0809Z1,有机电子学,,全日制,264,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2026,南京邮电大学,材料科学与工程学院,0809Z2,生物电子学,,全日制,264,,,,,2026年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,2026-06-28 22:58:41
2025,南京邮电大学,材料科学与工程学院,080300,光学工程,,非全日制,201,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2025,南京邮电大学,材料科学与工程学院,085400,电子信息,,全日制,390,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2025,南京邮电大学,材料科学与工程学院,080901,光学工程,,全日制,286,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2025,南京邮电大学,材料科学与工程学院,080902,光学工程,,全日制,275,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2025,南京邮电大学,材料科学与工程学院,080904,光学工程,,全日制,262,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2025,南京邮电大学,材料科学与工程学院,080500,材料科学与工程,,全日制,260,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2025,南京邮电大学,材料科学与工程学院,0809Z1,有机电子学,,全日制,260,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2025,南京邮电大学,材料科学与工程学院,0809Z2,生物电子学,,全日制,260,,,,,2025年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,2026-06-28 22:58:50
2024,南京邮电大学,材料科学与工程学院,080300,光学工程,,非全日制,384,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2024,南京邮电大学,材料科学与工程学院,085400,电子信息,,全日制,381,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2024,南京邮电大学,材料科学与工程学院,080901,光学工程,,全日制,310,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2024,南京邮电大学,材料科学与工程学院,080902,光学工程,,全日制,354,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2024,南京邮电大学,材料科学与工程学院,080904,光学工程,,全日制,273,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2024,南京邮电大学,材料科学与工程学院,080500,材料科学与工程,,全日制,343,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2024,南京邮电大学,材料科学与工程学院,0809Z1,有机电子学,,全日制,273,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2024,南京邮电大学,材料科学与工程学院,0809Z2,生物电子学,,全日制,273,,,,,2024年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,2026-06-28 22:58:56
2023,南京邮电大学,材料科学与工程学院,085400,电子信息,,全日制,366,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2023,南京邮电大学,材料科学与工程学院,080300,光学工程,,全日制,283,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2023,南京邮电大学,材料科学与工程学院,080901,光学工程,,全日制,273,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2023,南京邮电大学,材料科学与工程学院,080902,光学工程,,全日制,276,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2023,南京邮电大学,材料科学与工程学院,080904,光学工程,,全日制,286,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2023,南京邮电大学,材料科学与工程学院,080500,材料科学与工程,,全日制,273,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2023,南京邮电大学,材料科学与工程学院,0809Z1,有机电子学,,全日制,273,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2023,南京邮电大学,材料科学与工程学院,0809Z2,生物电子学,,全日制,273,,,,,2023年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2023/0901/c7813a269522/page.htm,2026-06-28 22:59:05
2022,南京邮电大学,材料科学与工程学院,085400,电子信息,,全日制,381,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,080300,光学工程,,全日制,273,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,080901,光学工程,,全日制,273,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,080902,光学工程,,全日制,280,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,080903,光学工程,,全日制,318,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,080904,光学工程,,全日制,273,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,070300,材料科学与工程,,全日制,290,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,080500,材料科学与工程,,全日制,273,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,0809Z1,有机电子学,,全日制,273,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2022,南京邮电大学,材料科学与工程学院,0809Z2,生物电子学,,全日制,273,,,,,2022年各学院硕士研究生分专业复试分数线及报考录取情况表,https://yzb.njupt.edu.cn/2022/0614/c7813a222915/page.htm,2026-06-28 22:59:11
2021,南京邮电大学,材料科学与工程学院,085400,电子信息,专业学位,,349,,,,,2021年硕士研究生招生复试分数线及相关说明,https://yzb.njupt.edu.cn/2021/0324/c7813a187394/page.htm,2026-06-28 22:59:18
2021,南京邮电大学,材料科学与工程学院,080300,光学工程,,,276,,,,,2021年硕士研究生招生复试分数线及相关说明,https://yzb.njupt.edu.cn/2021/0324/c7813a187394/page.htm,2026-06-28 22:59:18
